Category,Subcategory,Question,Answer,Alternatives (pipe-separated)
"My Category","Subcategory 1","This is a question","the answer","alt1|alt2"
"My Category","Subcategory 1","Another question","another answer",""
"My Category","Subcategory 1","Third question","third answer",""
"My Category","Subcategory 1","Fourth question","fourth answer",""
"My Category","Subcategory 1","Fifth question","fifth answer",""
"My Category","Subcategory 2","Question one","answer one",""
"My Category","Subcategory 2","Question two","answer two",""
"My Category","Subcategory 2","Question three","answer three",""
"My Category","Subcategory 2","Question four","answer four",""
"My Category","Subcategory 2","Question five","answer five",""
"Another Category","Subcategory A","Some question","some answer",""
"Another Category","Subcategory A","Other question","other answer",""
"Another Category","Subcategory A","Yet another question","yet another answer",""
"Another Category","Subcategory A","One more question","one more answer",""
"Another Category","Subcategory A","Final question","final answer",""
"Another Category","Subcategory B","First question","first answer",""
"Another Category","Subcategory B","Second question","second answer",""
"Another Category","Subcategory B","Third question","third answer",""
"Another Category","Subcategory B","Fourth question","fourth answer",""
"Another Category","Subcategory B","Fifth question","fifth answer",""
